l.p;ADO;EF;MSSQL
1;36;27;9
2;27;35;11
3;23;22;4
4;25;18;17
5;29;21;18
6;23;15;13
7;26;12;13
8;16;14;10
9;15;11;10
10;20;14;9
11;13;15;9
12;16;14;9
13;15;9;9
14;14;9;9
15;16;9;9
16;13;11;16
17;21;17;16
18;15;9;9
19;19;10;9
20;22;12;9
21;16;24;9
22;20;9;8
23;13;9;9
24;23;9;8
25;17;11;8
26;16;10;10
27;13;12;10
28;16;9;11
29;25;11;11
30;19;12;10
31;31;10;10
32;14;10;8
33;17;11;9
34;15;9;9
35;14;10;9
36;27;14;8
37;15;15;8
38;13;14;11
39;15;10;11
40;23;17;9
41;13;9;9
42;10;9;9
43;9;9;9
44;10;9;9
45;9;9;9
46;9;9;8
47;13;8;9
48;11;9;8
49;9;9;8
50;9;10;24
51;11;10;24
52;10;10;9
53;10;9;9
54;13;9;9
55;11;9;9
56;9;9;9
57;10;10;9
58;10;8;9
59;10;10;9
60;10;9;9
61;16;11;10
62;18;9;10
63;14;10;10
64;20;9;18
65;9;9;18
66;9;9;9
67;21;10;10
68;12;9;9
69;9;9;9
70;9;8;9
71;15;9;9
72;10;9;9
73;9;10;9
74;17;11;9
75;9;9;9
76;9;9;9
77;9;11;9
78;9;9;8
79;10;9;9
80;14;10;9
81;16;10;9
82;10;9;11
83;9;8;11
84;9;9;9
85;9;9;9
86;11;9;8
87;12;11;8
88;11;9;7
89;9;9;7
90;10;9;8
91;10;10;8
92;11;10;7
93;10;9;7
94;13;10;7
95;11;9;7
96;10;9;8
97;11;9;8
98;13;9;9
99;11;10;9
100;11;10;8
101;12;10;8
102;12;11;8
103;13;9;8
104;9;9;7
105;11;9;7
106;10;9;8
107;11;12;8
108;13;9;7
109;12;8;7
110;9;9;7
111;10;9;7
112;12;9;8
113;11;9;8
114;14;13;8
115;13;9;8
116;11;10;9
117;11;9;9
118;11;9;7
119;14;9;7
120;14;10;7
121;13;9;7
122;11;9;7
123;10;10;7
124;9;9;7
125;11;9;8
126;10;9;7
127;20;14;7
128;10;9;7
129;11;9;7
130;11;9;7
131;10;9;7
132;10;10;7
133;16;11;7
134;16;10;7
135;10;11;7
136;9;9;7
137;11;9;7
138;19;12;7
139;12;12;7
140;10;9;8
141;10;9;8
142;10;9;8
143;12;9;8
144;9;9;10
145;12;9;10
146;12;9;12
147;9;9;12
148;10;9;10
149;10;9;10
150;11;10;15
151;10;9;16
152;14;11;8
153;12;13;8
154;13;13;7
155;11;10;7
156;11;9;8
157;11;10;8
158;14;12;17
159;13;8;17
160;10;9;11
161;10;14;11
162;10;9;24
163;10;9;24
164;10;10;13
165;30;11;14
166;9;9;8
167;9;10;8
168;10;9;7
169;9;9;7
170;10;10;4
171;16;9;4
172;10;8;3
173;10;10;3
174;10;9;4
175;10;9;4
176;10;9;3
177;12;12;3
178;11;9;3
179;13;9;3
180;12;9;3
181;10;10;3
182;10;9;3
183;10;9;3
184;16;10;3
185;11;9;3
186;9;9;3
187;10;10;3
188;11;10;3
189;12;9;3
190;11;11;3
191;12;10;3
192;10;9;3
193;9;9;3
194;10;9;3
195;10;10;3
196;10;9;3
197;10;10;3
198;13;9;5
199;10;9;5
200;9;9;4
201;9;9;4
202;9;9;4
203;9;9;4
204;9;9;3
205;17;11;3
206;10;9;3
207;10;9;3
208;10;9;3
209;10;9;3
210;10;9;3
211;14;10;3
212;15;10;3
213;13;9;3
214;15;9;3
215;10;9;3
216;9;9;3
217;9;10;3
218;10;10;4
219;13;9;4
220;15;9;3
221;11;10;3
222;10;9;3
223;10;9;3
224;11;11;3
225;13;11;3
226;11;9;3
227;9;9;3
228;9;9;4
229;9;9;4
230;9;9;3
231;14;12;3
232;10;9;3
233;9;9;3
234;9;9;3
235;15;10;3
236;10;9;3
237;10;10;3
238;13;11;3
239;10;9;3
240;10;9;3
241;10;9;3
242;10;9;4
243;9;9;4
244;11;9;3
245;12;12;3
246;10;10;3
247;14;9;3
248;13;9;3
249;13;10;3
250;13;9;3
251;17;19;4
252;15;10;4
253;12;9;4
254;13;9;3
255;12;9;3
256;12;10;4
257;15;12;4
258;10;9;4
259;11;9;4
260;9;12;3
261;9;9;3
262;10;9;5
263;14;10;5
264;10;9;3
265;10;9;3
266;11;9;3
267;10;9;3
268;10;9;13
269;10;10;13
270;13;9;3
271;10;10;4
272;9;9;3
273;9;9;3
274;9;9;4
275;10;9;4
276;13;11;3
277;12;9;3
278;10;9;3
279;10;9;3
280;10;9;4
281;10;10;4
282;11;10;3
283;12;11;3
284;11;10;4
285;14;9;4
286;12;9;3
287;14;10;3
288;13;16;3
289;31;13;3
290;14;22;3
291;21;25;3
292;27;18;3
293;20;11;3
294;11;13;3
295;12;9;4
296;12;10;4
297;10;9;4
298;15;10;3
299;12;13;3
300;14;10;3
301;11;25;3
302;13;13;5
303;11;16;5
304;22;16;3
305;19;13;3
306;17;13;3
307;17;11;3
308;19;13;3
309;14;10;3
310;13;9;5
311;9;9;5
312;11;9;3
313;12;10;3
314;15;9;4
315;12;9;4
316;15;13;3
317;19;10;4
318;18;13;4
319;21;16;4
320;15;9;3
321;17;10;3
322;9;9;3
323;9;9;3
324;9;9;3
325;14;12;4
326;10;11;3
327;11;10;3
328;10;9;4
329;11;9;4
330;11;9;3
331;14;12;3
332;17;9;3
333;11;9;3
334;10;9;3
335;10;9;3
336;10;9;4
337;10;10;5
338;15;11;3
339;10;9;3
340;10;9;3
341;10;9;3
342;10;9;4
343;10;9;4
344;14;9;4
345;12;9;4
346;10;9;3
347;10;9;3
348;9;9;7
349;11;10;7
350;10;10;5
351;10;13;5
352;12;9;3
353;9;9;3
354;11;9;4
355;10;9;4
356;10;10;3
357;10;10;3
358;13;12;3
359;10;10;3
360;11;11;4
361;10;9;4
362;10;9;3
363;11;9;3
364;14;10;3
365;11;9;3
366;10;9;3
367;11;10;3
368;10;10;5
369;10;9;5
370;11;9;3
371;9;11;3
372;17;63;3
373;19;16;3
374;16;11;3
375;22;11;4
376;15;10;3
377;17;9;3
378;13;21;3
379;36;92;3
380;34;11;3
381;22;18;4
382;36;11;3
383;22;16;3
384;65;67;3
385;13;9;3
386;12;10;3
387;14;17;3
388;18;9;3
389;16;9;3
390;13;11;4
391;15;9;4
392;9;9;8
393;11;9;9
394;14;9;4
395;14;9;4
