l.p;ADO;EF;MSSQL
1;18;60;9
2;17;65;8
3;39;60;7
4;37;75;12
5;49;64;6
6;39;56;5
7;23;50;5
8;14;37;4
9;31;68;5
10;23;54;4
11;48;50;5
12;26;63;5
13;27;46;5
14;28;65;4
15;35;55;6
16;16;45;4
17;16;34;5
18;17;50;4
19;19;44;5
20;16;38;4
21;14;46;5
22;13;29;4
23;13;33;5
24;13;32;4
25;16;32;5
26;12;29;5
27;16;31;5
28;13;45;5
29;14;31;5
30;13;33;9
31;13;28;6
32;17;36;18
33;14;29;6
34;13;32;6
35;13;38;5
36;18;35;4
37;15;37;5
38;12;28;5
39;12;38;4
40;13;31;4
41;13;32;4
42;12;35;4
43;15;36;4
44;14;33;4
45;15;29;4
46;13;32;4
47;18;40;4
48;13;32;5
49;12;35;4
50;14;33;4
51;13;34;4
52;12;31;6
53;12;31;4
54;13;36;4
55;14;32;4
56;13;35;4
57;13;31;4
58;15;38;4
59;13;29;4
60;13;37;4
61;13;34;4
62;20;33;10
63;15;36;4
64;12;30;4
65;13;36;4
66;14;29;4
67;12;31;4
68;13;29;4
69;15;39;3
70;12;36;4
71;13;28;3
72;13;33;3
73;15;33;4
74;13;33;4
75;13;29;4
76;12;32;4
77;16;39;3
78;13;29;3
79;13;34;4
80;14;35;5
81;14;37;4
82;13;30;4
83;13;33;3
84;17;49;4
85;13;30;4
86;13;34;4
87;13;30;5
88;14;44;4
89;13;30;3
90;12;30;3
91;12;40;4
92;15;30;4
93;13;33;4
94;12;30;4
95;12;36;4
96;12;29;4
97;14;49;4
98;12;37;4
99;16;30;4
100;12;32;4
101;13;30;4
102;13;39;4
103;13;30;4
104;13;33;4
105;13;35;5
106;15;34;5
107;13;33;4
108;13;32;4
109;12;31;4
110;16;34;4
111;14;32;5
112;12;35;4
113;13;29;5
114;21;39;4
115;13;28;5
116;12;31;4
117;14;30;13
118;17;32;6
119;12;35;4
120;13;29;4
121;12;42;18
122;12;30;10
123;13;31;4
124;13;30;9
125;13;35;5
126;15;47;5
127;13;28;2
128;13;34;2
129;17;34;2
130;14;36;2
131;14;33;2
132;14;100;2
133;22;63;2
134;19;61;2
135;23;40;2
136;16;40;3
137;27;70;2
138;16;32;2
139;18;46;2
140;15;45;2
141;16;46;3
142;16;33;2
143;14;45;2
144;16;65;2
145;34;97;2
146;25;67;2
147;20;57;2
148;15;40;2
149;16;37;2
150;19;53;2
151;14;45;3
152;14;44;3
153;22;64;2
154;19;37;2
155;30;59;2
156;24;51;2
157;14;34;3
158;14;59;2
159;30;46;2
160;16;46;2
161;27;62;2
162;16;53;3
163;14;60;2
164;16;35;2
165;132;247;2
166;25;158;2
167;29;53;3
168;12;34;2
169;12;29;2
170;14;43;3
171;13;28;2
172;12;31;2
173;13;30;2
174;16;33;4
175;12;34;3
176;13;30;3
177;12;34;2
178;14;31;2
179;12;31;2
180;13;28;3
181;13;34;2
182;15;37;2
183;13;29;2
184;14;36;2
185;15;34;3
186;13;33;2
187;13;29;2
188;12;34;2
189;16;40;2
190;13;29;3
191;12;32;2
192;13;29;2
193;17;38;3
194;16;34;4
195;14;35;3
196;62;59;2
197;15;34;2
198;16;41;2
199;21;32;3
200;13;33;2
201;13;36;3
202;19;44;2
203;13;34;2
204;15;29;2
205;13;37;2
206;15;29;2
207;13;31;2
208;13;28;2
209;12;33;3
210;15;38;2
211;13;30;2
212;13;34;2
213;13;35;2
214;14;33;3
215;13;28;2
216;13;31;2
217;18;50;2
218;14;38;2
219;13;34;2
220;12;35;2
221;16;32;2
222;12;28;6
223;12;30;4
224;14;41;3
225;14;33;2
226;14;35;3
227;12;31;2
228;19;36;2
229;13;29;3
230;13;32;2
231;13;39;2
232;15;30;6
233;12;32;4
234;13;30;2
235;24;48;5
236;14;29;5
237;13;32;5
238;13;41;3
239;17;35;2
240;12;33;2
241;12;28;2
242;17;49;2
243;14;29;3
244;13;30;2
245;13;35;2
246;15;34;2
247;13;33;2
248;13;34;2
249;13;35;4
250;15;31;2
251;12;31;3
252;13;40;2
253;14;33;5
254;19;45;2
255;13;28;2
256;12;31;2
257;13;36;4
258;13;31;4
259;13;34;3
260;15;57;4
261;20;47;5
262;14;29;3
263;13;32;4
264;16;36;3
265;13;31;3
266;13;36;3
267;13;30;5
268;22;46;3
269;14;30;3
270;12;31;4
271;14;34;3
272;14;34;3
273;13;36;4
274;13;29;5
275;16;48;2
276;14;30;3
277;12;31;5
278;12;32;2
279;14;32;2
280;12;35;2
281;12;28;3
282;13;47;5
283;16;32;2
284;13;33;2
285;13;29;4
286;15;38;4
287;13;35;2
288;12;29;2
289;13;37;2
290;23;33;5
291;13;31;2
292;13;29;2
293;14;42;4
294;13;35;3
295;12;28;2
296;12;36;3
297;14;32;4
298;15;36;2
299;13;30;2
300;12;33;2
301;15;37;6
302;12;29;2
303;12;33;2
304;12;37;2
305;19;42;5
306;12;29;2
307;16;41;3
308;27;50;3
309;15;33;4
310;15;40;2
311;20;36;2
312;14;38;2
313;12;31;5
314;12;36;2
315;19;40;2
316;12;28;2
317;13;36;3
318;13;36;2
319;14;33;2
320;12;29;2
321;12;36;2
322;21;47;2
323;13;29;4
324;12;33;3
325;13;36;2
326;19;35;3
327;12;28;3
328;13;31;2
329;20;47;2
330;15;29;2
331;13;32;5
332;12;30;5
333;15;37;4
334;12;29;17
335;14;35;4
336;13;45;3
337;12;29;9
338;12;32;3
339;17;29;3
340;16;42;4
341;13;32;2
342;16;36;2
343;12;48;2
344;14;36;2
345;12;33;5
346;12;30;2
347;14;51;2
348;23;38;2
349;19;37;3
350;18;42;2
351;13;40;3
352;12;32;14
353;16;42;3
354;15;32;2
355;13;29;3
356;13;33;2
357;14;39;2
358;13;29;2
359;12;33;2
360;12;32;2
361;15;31;4
362;13;29;2
363;13;31;2
364;13;45;2
365;14;33;4
366;13;33;2
367;13;29;2
368;17;44;4
369;12;30;5
370;15;32;2
371;14;47;2
372;14;29;2
373;15;33;2
374;12;29;4
375;12;37;2
376;18;30;3
377;13;34;2
378;13;39;3
