l.p;ADO;EF;MSSQL
1;16;31;8
2;15;9;8
3;17;11;15
4;16;9;15
5;13;9;8
6;55;15;8
7;64;12;9
8;24;11;9
9;17;13;8
10;18;9;8
11;175;73;9
12;29;21;9
13;33;11;12
14;24;11;12
15;17;11;8
16;41;16;9
17;29;17;12
18;129;19;12
19;55;30;8
20;47;35;8
21;22;11;9
22;17;12;9
23;19;9;7
24;14;11;7
25;25;14;7
26;21;10;7
27;23;13;6
28;21;21;7
29;20;9;7
30;14;9;7
31;15;10;7
32;17;8;7
33;16;10;7
34;19;13;7
35;17;11;9
36;22;13;9
37;16;10;7
38;26;12;7
39;19;12;7
40;17;15;7
41;19;10;8
42;21;11;9
43;85;16;7
44;19;11;7
45;16;9;7
46;16;9;7
47;19;9;11
48;21;14;11
49;49;14;8
50;29;17;8
51;27;11;7
52;17;9;7
53;12;9;6
54;12;9;6
55;14;9;7
56;16;9;7
57;13;9;7
58;12;9;7
59;13;9;7
60;13;9;7
61;14;9;7
62;17;9;7
63;12;9;7
64;12;9;7
65;13;9;7
66;14;9;7
67;13;10;6
68;20;9;7
69;13;9;7
70;13;9;7
71;13;9;7
72;12;9;7
73;12;12;7
74;21;10;7
75;13;9;7
76;13;9;8
77;12;9;7
78;13;9;7
79;14;10;7
80;18;9;7
81;13;9;9
82;13;9;9
83;12;9;7
84;12;9;7
85;12;10;7
86;19;9;7
87;13;9;7
88;12;8;7
89;13;9;6
90;14;11;6
91;13;11;7
92;16;9;7
93;12;9;6
94;14;16;6
95;16;9;26
96;16;10;26
97;31;108;7
98;13;10;7
99;13;10;7
100;15;10;7
101;13;10;5
102;13;10;5
103;14;10;7
104;13;9;7
105;15;10;6
106;20;10;6
107;12;9;6
108;12;9;6
109;12;9;6
110;12;9;6
111;12;10;6
112;15;9;6
113;12;9;6
114;12;9;6
115;12;9;6
116;13;9;6
117;12;10;6
118;23;10;6
119;12;10;6
120;13;9;6
121;12;9;6
122;13;9;6
123;13;9;6
124;17;9;6
125;13;10;5
126;13;9;5
127;13;10;6
128;13;10;6
129;13;10;6
130;15;10;6
131;14;10;6
132;13;10;6
133;13;9;6
134;13;10;6
135;13;9;6
136;17;10;6
137;15;9;6
138;18;9;6
139;13;10;6
140;14;9;6
141;13;12;5
142;27;14;6
143;32;14;7
144;29;14;7
145;22;16;9
146;14;11;10
147;13;9;6
148;12;9;6
149;13;10;6
150;14;10;6
151;15;10;6
152;14;11;6
153;12;10;7
154;95;17;7
155;26;11;6
156;19;10;6
157;16;12;6
158;49;16;6
159;26;18;6
160;26;16;6
161;32;18;7
162;53;21;8
163;104;19;6
164;29;9;6
165;13;9;6
166;28;16;6
167;27;17;7
168;19;14;7
169;28;10;3
170;37;9;3
171;22;16;2
172;25;10;2
173;41;16;3
174;20;16;3
175;41;13;2
176;19;16;2
177;13;11;2
178;14;9;2
179;14;11;2
180;24;10;2
181;18;12;2
182;14;10;2
183;13;10;2
184;13;11;2
185;14;9;2
186;14;12;2
187;15;9;2
188;13;9;2
189;14;11;2
190;16;10;2
191;13;9;2
192;16;18;2
193;24;11;2
194;14;10;2
195;17;11;2
196;17;9;2
197;28;14;3
198;21;12;3
199;44;10;2
200;35;15;2
201;20;10;3
202;18;15;3
203;20;16;2
204;21;18;2
205;19;10;9
206;17;10;9
207;16;10;2
208;15;9;2
209;22;13;2
210;13;10;2
211;21;14;3
212;25;11;3
213;36;15;2
214;20;10;2
215;18;11;2
216;18;9;2
217;22;11;4
218;14;10;4
219;14;10;2
220;14;9;2
221;16;9;2
222;18;11;2
223;16;9;2
224;19;9;2
225;41;11;2
226;88;12;2
227;42;10;2
228;15;9;2
229;39;12;2
230;17;12;2
231;14;10;2
232;16;12;2
233;21;13;2
234;18;11;2
235;14;9;2
236;17;9;2
237;14;10;2
238;23;11;2
239;14;9;2
240;16;9;2
241;13;9;2
242;20;10;2
243;23;12;2
244;14;9;3
245;16;10;2
246;14;9;2
247;16;9;2
248;16;9;2
249;19;12;2
250;20;10;2
251;17;10;3
252;19;11;3
253;19;13;3
254;31;12;4
255;19;13;2
256;20;10;2
257;18;10;2
258;54;12;2
259;21;9;2
260;16;9;2
261;14;9;2
262;21;14;2
263;19;9;3
264;14;9;3
265;19;12;2
266;24;15;2
267;27;9;3
268;70;25;3
269;31;11;2
270;14;9;2
271;31;10;2
272;44;15;2
273;23;12;2
274;22;9;2
275;20;13;2
276;37;12;2
277;18;9;2
278;20;11;2
279;22;15;2
280;45;11;2
281;19;12;2
282;18;10;2
283;16;11;2
284;31;11;2
285;24;22;2
286;19;10;2
287;30;17;2
288;22;15;2
289;17;15;2
290;30;11;2
291;25;16;2
292;20;11;2
293;20;9;2
294;16;10;2
295;34;10;2
296;20;10;2
297;19;11;2
298;25;20;2
299;21;34;2
300;32;13;2
301;30;19;3
302;26;13;3
303;32;18;2
304;19;10;2
305;18;17;2
306;21;14;2
307;19;9;2
308;20;11;2
309;15;10;2
310;21;9;2
311;44;12;2
312;19;9;2
313;22;16;2
314;23;13;2
315;36;14;2
316;18;10;2
317;20;10;3
318;16;9;4
319;20;11;2
320;21;13;2
321;14;11;5
322;14;9;5
323;17;18;2
324;17;12;2
325;24;10;2
326;14;9;2
327;16;9;2
328;15;9;2
329;20;11;2
330;20;9;2
331;16;10;2
332;14;10;2
333;21;10;2
334;53;10;2
335;23;9;2
336;14;11;2
337;24;11;2
338;75;12;2
339;25;11;2
340;15;10;2
341;35;12;2
342;43;16;2
343;93;82;2
344;86;26;2
